Date,Layout,Layout Style,Full Tees,Full Baskets,Front Tees,Front Baskets,Back Tees,Back Baskets,Odd Tees,Odd Baskets,Even Tees,Even Baskets,Round Final Score,Round Check,Tee 1,Basket 1,Hole 1,Tee 2,Basket 2,Hole 2,Tee 3,Basket 3,Hole 3,Tee 4,Basket 4,Hole 4,Tee 5,Basket 5,Hole 5,Tee 6,Basket 6,Hole 6,Tee 7,Basket 7,Hole 7,Tee 8,Basket 8,Hole 8,Tee 9,Basket 9,Hole 9,Tee 10,Basket 10,Hole 10,Tee 11,Basket 11,Hole 11,Tee 12,Basket 12,Hole 12,Tee 13,Basket 13,Hole 13,Tee 14,Basket 14,Hole 14,Tee 15,Basket 15,Hole 15,Tee 16,Basket 16,Hole 16,Tee 17,Basket 17,Hole 17,Tee 18,Basket 18,Hole 18
7/8/2024,Blue -> Blue/White,Full Layout,Blue,Blue/White,-,-,-,-,-,-,-,-,54,54,B,W,4,B,W,3,B,B,3,B,B,3,B,W,3,B,B,3,B,B,3,B,B,2,B,B,3,B,B,3,B,B,3,B,B,3,B,W,3,B,W,3,B,B,3,B,W,3,B,B,3,B,B,3
7/15/2024,Blue -> Yellow,Full Layout,Blue,Yellow,-,-,-,-,-,-,-,-,55,55,B,Y,3,B,Y,3,B,Y,3,B,Y,2,B,Y,3,B,Y,3,B,Y,3,B,Y,3,B,Y,3,B,Y,3,B,Y,3,B,Y,3,B,Y,3,B,Y,3,B,Y,3,B,Y,4,B,Y,3,B,Y,4
7/29/2024,F9 Y -> Y B9 B -> B,Front 9 and Back 9,-,-,Yellow,Yellow,Blue,Blue,-,-,-,-,59,59,Y,Y,4,Y,Y,3,Y,Y,3,Y,Y,3,Y,Y,4,Y,U,6,Y,Y,3,Y,Y,3,Y,Y,3,B,B,3,B,B,2,B,B,3,B,B,4,B,B,3,B,B,3,B,B,4,B,B,2,B,B,3
8/5/2024,Odds Y- > Y/W Evens B -> B/W,Odds and Evens,-,-,-,-,-,-,Yellow,Yellow/White,Blue,Blue/White,55,55,Y,W,2,B,W,3,Y,Y,3,B,B,3,Y,Y,3,B,B,3,Y,Y,4,B,B,2,Y,Y,3,B,B,3,Y,Y,4,B,B,3,Y,W,3,B,W,3,Y,Y,3,B,W,4,Y,Y,3,B,B,3
8/12/2024,Odds B -> B/W Evens Y -> Y/W,Odds and Evens,-,-,-,-,-,-,Blue,Blue/White,Yellow,Yellow/White,61,61,B,W,4,Y,W,2,B,B,2,Y,Y,4,B,W,3,Y,Y,4,B,B,3,Y,Y,3,B,B,4,Y,Y,3,B,B,3,Y,Y,4,B,W,4,Y,W,4,B,B,3,Y,W,4,B,B,3,Y,Y,4
8/19/2024,Yellow -> Blue,Full Layout,Yellow,Blue,-,-,-,-,-,-,-,-,65,65,Y,B,2,Y,B,3,Y,B,3,Y,B,4,Y,B,4,Y,B,4,Y,B,4,Y,B,3,Y,B,4,Y,B,4,Y,B,4,Y,B,5,Y,B,3,Y,B,4,Y,B,4,Y,B,4,Y,B,3,Y,B,3
8/26/2024,Blue -> Blue,Full Layout,Blue,Blue,-,-,-,-,-,-,-,-,53,53,B,B,3,B,B,2,B,B,4,B,B,2,B,B,3,B,B,4,B,B,2,B,B,2,B,B,3,B,B,4,B,B,3,B,B,4,B,B,3,B,B,2,B,B,3,B,B,3,B,B,3,B,B,3
9/2/2024,Yellow -> Yellow/White,Full Layout,Yellow,Yellow/White,-,-,-,-,-,-,-,-,65,65,Y,W,3,Y,W,3,Y,Y,5,Y,Y,5,Y,W,4,Y,Y,3,Y,Y,4,Y,Y,2,Y,Y,4,Y,Y,4,Y,Y,4,Y,Y,2,Y,W,4,Y,W,4,Y,Y,4,Y,W,4,Y,Y,3,Y,Y,3
9/9/2024,F9 Y -> B B9 B -> Y,Front 9 and Back 9,-,-,Yellow,Blue,Blue,Yellow,-,-,-,-,60,60,Y,B,2,Y,B,3,Y,B,4,Y,B,3,Y,B,4,Y,B,4,Y,B,3,Y,B,3,Y,B,4,B,Y,4,B,Y,3,B,Y,4,B,Y,3,B,Y,3,B,Y,4,B,Y,3,B,Y,3,B,Y,3
9/16/2024,F9 B -> Y/W B9 Y -> B/W,Front 9 and Back 9,-,-,Blue,Yellow/White,Yellow,Blue/White,-,-,-,-,58,58,B,W,3,B,W,2,B,Y,4,B,Y,3,B,W,3,B,Y,3,B,Y,3,B,Y,3,B,Y,3,Y,B,3,Y,B,3,Y,B,3,Y,W,4,Y,W,4,Y,B,4,Y,B,4,Y,B,3,Y,B,3
9/23/2024,Blue -> Yellow/White,Full Layout,Blue,Yellow/White,-,-,-,-,-,-,-,-,57,57,B,W,3,B,W,3,B,Y,3,B,Y,3,B,W,3,B,Y,3,B,Y,3,B,Y,3,B,Y,3,B,Y,3,B,Y,3,B,Y,4,B,W,2,B,W,3,B,Y,4,B,W,4,B,Y,3,B,Y,4
10/6/2024,Blue -> Blue,Full Layout,Blue,Blue,-,-,-,-,-,-,-,-,53,53,B,B,3,B,B,2,B,B,3,B,B,3,B,B,3,B,B,3,B,B,3,B,B,2,B,B,3,B,B,3,B,B,4,B,B,4,B,B,3,B,B,3,B,B,2,B,B,3,B,B,3,B,B,3
